1345,-0.78,-0.78,0.2444,0.2444,0.00,0.00,10
1356,-0.22,-0.22,0.2444,0.2444,0.00,0.00,10
1369,0.40,0.40,0.1222,0.1222,0.00,0.00,10
1380,0.43,0.43,0.1222,0.1222,0.00,0.00,10
1391,-0.17,-0.17,0.1222,0.1222,0.00,0.00,10
1403,0.45,0.45,-0.2444,-0.2444,0.00,0.00,10
1415,0.75,0.75,0.0000,0.0000,0.00,0.00,10
1426,0.10,0.10,-0.1222,-0.1222,0.00,0.00,10
1438,0.54,0.54,-0.1222,-0.1222,0.00,0.00,10
1449,0.55,0.55,0.0000,0.0000,0.00,0.00,10
1461,0.33,0.33,0.0000,0.0000,0.00,0.00,10
1473,0.12,0.12,0.2444,0.2444,0.00,0.00,10
1484,0.46,0.46,0.0000,0.0000,0.00,0.00,10
1496,1.02,1.02,0.0000,0.0000,0.00,0.00,10
1508,0.64,0.64,0.1222,0.1222,0.00,0.00,10
1519,-0.08,-0.08,0.2444,0.2444,0.00,0.00,10
1531,0.39,0.39,-0.1222,-0.1222,0.00,0.00,10
1543,0.46,0.46,0.1222,0.1222,0.00,0.00,10
1554,0.27,0.27,0.0000,0.0000,0.00,0.00,10
1566,0.26,0.26,0.2444,0.2444,0.00,0.00,10
1577,0.50,0.50,0.0000,0.0000,0.00,0.00,10
1589,0.70,0.70,0.1222,0.1222,0.00,0.00,10
1601,0.27,0.27,0.0000,0.0000,0.00,0.00,10
1612,-0.16,-0.16,0.0000,0.0000,0.00,0.00,10
1624,-0.39,-0.39,0.1222,0.1222,0.00,0.00,10
1636,-0.48,-0.48,0.1222,0.1222,0.00,0.00,10
1647,0.02,0.02,0.0000,0.0000,0.00,0.00,10
1658,0.42,0.42,0.1222,0.1222,0.00,0.00,10
1671,0.58,0.58,0.0000,0.0000,0.00,0.00,10
1682,-0.05,-0.05,0.2444,0.2444,0.00,0.00,10
1693,0.04,0.04,-0.1222,-0.1222,0.00,0.00,10
1705,-0.19,-0.19,0.2444,0.2444,0.00,0.00,10
1717,-0.14,-0.14,0.0000,0.0000,0.00,0.00,10
1729,-0.03,-0.03,-0.2444,-0.2444,0.00,0.00,10
1740,0.40,0.40,0.0000,0.0000,0.00,0.00,10
1752,0.24,0.24,0.1222,0.1222,0.00,0.00,10
1764,0.35,0.35,0.0000,0.0000,0.00,0.00,10
1775,0.26,0.26,0.2444,0.2444,0.00,0.00,10
1786,0.22,0.22,0.1222,0.1222,0.00,0.00,10
1799,0.45,0.45,0.0000,0.0000,0.00,0.00,10
1810,0.11,0.11,-0.1222,-0.1222,0.00,0.00,10
1821,-0.20,-0.20,0.3666,0.3666,0.00,0.00,10
1833,-0.35,-0.35,0.0000,0.0000,0.00,0.00,10
1845,-0.26,-0.26,-0.1222,-0.1222,0.00,0.00,10
1856,0.11,0.11,0.3666,0.3666,0.00,0.00,10
1868,0.19,0.19,0.2444,0.2444,0.00,0.00,10
1880,-0.01,-0.01,0.0000,0.0000,0.00,0.00,10
1891,-0.28,-0.28,0.0000,0.0000,0.00,0.00,10
1903,0.10,0.10,0.0000,0.0000,0.00,0.00,10
1914,0.46,0.46,-0.1222,-0.1222,0.00,0.00,10
1926,0.41,0.41,0.1222,0.1222,0.00,0.00,10
1938,0.48,0.48,-0.1222,-0.1222,0.00,0.00,10
1949,0.48,0.48,0.1222,0.1222,0.00,0.00,10
1961,0.26,0.26,0.1222,0.1222,0.00,0.00,10
1973,0.19,0.19,-0.1222,-0.1222,0.00,0.00,10
1984,0.53,0.53,-0.1222,-0.1222,0.00,0.00,10
1996,-0.12,-0.12,0.1222,0.1222,0.00,0.00,10
2008,-0.47,-0.47,0.1222,0.1222,0.00,0.00,10
2019,0.65,0.65,0.2444,0.2444,0.00,0.00,10
2031,0.33,0.33,-0.1222,-0.1222,0.00,0.00,10
2042,0.27,0.27,-0.1222,-0.1222,0.00,0.00,10
2054,-0.19,-0.19,-0.1222,-0.1222,0.00,0.00,10
2066,-0.09,-0.09,-0.1222,-0.1222,0.00,0.00,10
2077,-0.12,-0.12,0.1222,0.1222,0.00,0.00,10
2088,-0.44,-0.44,0.0000,0.0000,0.00,0.00,10
2101,0.24,0.24,0.1222,0.1222,0.00,0.00,10
2112,0.29,0.29,-0.1222,-0.1222,0.00,0.00,10
2123,-0.33,-0.33,-0.1222,-0.1222,0.00,0.00,10
2136,-0.29,-0.29,0.1222,0.1222,0.00,0.00,10
2147,0.11,0.11,0.1222,0.1222,0.00,0.00,10
2158,0.37,0.37,0.1222,0.1222,0.00,0.00,10
2170,0.92,0.92,-0.1222,-0.1222,0.00,0.00,10
2182,1.19,1.19,0.1222,0.1222,0.00,0.00,10
2194,0.56,0.56,-0.1222,-0.1222,0.00,0.00,10
2205,-0.21,-0.21,0.1222,0.1222,0.00,0.00,10
2216,0.77,0.77,0.0000,0.0000,0.00,0.00,10
2229,1.02,1.02,0.0000,0.0000,0.00,0.00,10
2240,0.36,0.36,0.0000,0.0000,0.00,0.00,10
2251,0.29,0.29,0.0000,0.0000,0.00,0.00,10
2264,0.30,0.30,-0.1222,-0.1222,0.00,0.00,10
2275,-0.23,-0.23,0.2444,0.2444,0.00,0.00,10
2286,-0.64,-0.64,0.1222,0.1222,0.00,0.00,10
2298,0.10,0.10,0.1222,0.1222,0.00,0.00,10
2310,1.44,1.44,0.0000,0.0000,0.00,0.00,10
2321,1.29,1.29,-0.1222,-0.1222,0.00,0.00,10
2333,0.51,0.51,0.1222,0.1222,0.00,0.00,10
2344,-0.36,-0.36,-0.1222,-0.1222,0.00,0.00,10
2356,-0.16,-0.16,0.1222,0.1222,0.00,0.00,10
2368,-0.04,-0.04,0.0000,0.0000,0.00,0.00,10
2379,0.78,0.78,-0.1222,-0.1222,0.00,0.00,10
2391,0.07,0.07,0.0000,0.0000,0.00,0.00,10
2403,-0.85,-0.85,0.1222,0.1222,0.00,0.00,10
2414,-0.05,-0.05,0.1222,0.1222,0.00,0.00,10
2426,-0.18,-0.18,-0.1222,-0.1222,0.00,0.00,10
2438,0.02,0.02,0.1222,0.1222,0.00,0.00,10
2449,0.78,0.78,-0.1222,-0.1222,0.00,0.00,10
2461,1.21,1.21,0.2444,0.2444,0.00,0.00,10
2472,0.61,0.61,0.1222,0.1222,0.00,0.00,10
2484,0.20,0.20,0.0000,0.0000,0.00,0.00,10
2496,0.02,0.02,0.0000,0.0000,0.00,0.00,10
2507,-0.49,-0.49,-0.1222,-0.1222,0.00,0.00,10
2519,0.22,0.22,0.0000,0.0000,0.00,0.00,10
2531,1.20,1.20,0.0000,0.0000,0.00,0.00,10
2542,0.67,0.67,0.0000,0.0000,0.00,0.00,10
2553,0.51,0.51,0.1222,0.1222,0.00,0.00,10
2566,0.46,0.46,0.0000,0.0000,0.00,0.00,10
